factor,direction
turnover,sell
r_pc_925_ma1,buy
r_pc_925_ma2,buy
r_pc_925_ma3,buy
r_pc_925_ma5,buy
r_pc_925_ma10,buy
r_pc_925_ma20,buy
r_pc_925_ma60,buy
r_925_1500_ma1,sell
r_925_1500_ma2,sell
r_925_1500_ma3,sell
r_925_1500_ma5,sell
r_925_1500_ma10,sell
r_925_1500_ma20,sell
r_925_1500_ma60,sell
r_925_1030_ma1,sell
r_925_1030_ma2,sell
r_925_1030_ma3,sell
r_925_1030_ma5,sell
r_925_1030_ma10,sell
r_925_1030_ma20,sell
r_925_1030_ma60,buy
r_1030_1130_ma1,buy
r_1030_1130_ma2,sell
r_1030_1130_ma3,sell
r_1030_1130_ma5,sell
r_1030_1130_ma10,sell
r_1030_1130_ma20,sell
r_1030_1130_ma60,sell
r_1400_1130_ma1,sell
r_1400_1130_ma2,sell
r_1400_1130_ma3,sell
r_1400_1130_ma5,sell
r_1400_1130_ma10,sell
r_1400_1130_ma20,sell
r_1400_1130_ma60,sell
r_1500_1400_ma1,sell
r_1500_1400_ma2,sell
r_1500_1400_ma3,sell
r_1500_1400_ma5,sell
r_1500_1400_ma10,sell
r_1500_1400_ma20,sell
r_1500_1400_ma60,sell
r_925_945_ma1,sell
r_925_945_ma2,buy
r_925_945_ma3,sell
r_925_945_ma5,sell
r_925_945_ma10,sell
r_925_945_ma20,buy
r_925_945_ma60,buy
r_925_1000_ma1,sell
r_925_1000_ma2,sell
r_925_1000_ma3,sell
r_925_1000_ma5,sell
r_925_1000_ma10,sell
r_925_1000_ma20,sell
r_925_1000_ma60,buy
r_1445_1500_ma1,sell
r_1445_1500_ma2,sell
r_1445_1500_ma3,sell
r_1445_1500_ma5,sell
r_1445_1500_ma10,sell
r_1445_1500_ma20,sell
r_1445_1500_ma60,buy
r_1430_1500_ma1,sell
r_1430_1500_ma2,sell
r_1430_1500_ma3,sell
r_1430_1500_ma5,sell
r_1430_1500_ma10,sell
r_1430_1500_ma20,sell
r_1430_1500_ma60,sell
mean_ret_ma1,sell
mean_ret_ma2,sell
mean_ret_ma3,sell
mean_ret_ma5,sell
mean_ret_ma10,sell
mean_ret_ma20,sell
mean_ret_ma60,sell
ex_ret_ma1,sell
ex_ret_ma2,sell
ex_ret_ma3,sell
ex_ret_ma5,sell
ex_ret_ma10,sell
ex_ret_ma20,sell
ex_ret_ma60,buy
ret_tstat_ma1,sell
ret_tstat_ma2,buy
ret_tstat_ma3,sell
ret_tstat_ma5,sell
ret_tstat_ma10,sell
ret_tstat_ma20,sell
ret_tstat_ma60,buy
highest_ret_ma1,sell
highest_ret_ma2,sell
highest_ret_ma3,sell
highest_ret_ma5,sell
highest_ret_ma10,sell
highest_ret_ma20,buy
highest_ret_ma60,buy
lowest_ret_ma1,buy
lowest_ret_ma2,buy
lowest_ret_ma3,buy
lowest_ret_ma5,buy
lowest_ret_ma10,buy
lowest_ret_ma20,buy
lowest_ret_ma60,sell
range_ma1,sell
range_ma2,sell
range_ma3,sell
range_ma5,sell
range_ma10,sell
range_ma20,sell
range_ma60,buy
vwap_twap_ma1,buy
vwap_twap_ma2,buy
vwap_twap_ma3,buy
vwap_twap_ma5,buy
vwap_twap_ma10,buy
vwap_twap_ma20,buy
vwap_twap_ma60,buy
ret_std_ma1,sell
ret_std_ma2,buy
ret_std_ma3,buy
ret_std_ma5,buy
ret_std_ma10,buy
ret_std_ma20,buy
ret_std_ma60,buy
amt_std_ma1,sell
amt_std_ma2,sell
amt_std_ma3,sell
amt_std_ma5,buy
amt_std_ma10,buy
amt_std_ma20,buy
amt_std_ma60,buy
amt_diff_std_ma1,sell
amt_diff_std_ma2,sell
amt_diff_std_ma3,buy
amt_diff_std_ma5,buy
amt_diff_std_ma10,buy
amt_diff_std_ma20,buy
amt_diff_std_ma60,buy
spread_mae_pc_ma1,buy
spread_mae_pc_ma2,sell
spread_mae_pc_ma3,sell
spread_mae_pc_ma5,sell
spread_mae_pc_ma10,sell
spread_mae_pc_ma20,sell
spread_mae_pc_ma60,sell
ret_std_up_ma1,sell
ret_std_up_ma2,sell
ret_std_up_ma3,sell
ret_std_up_ma5,sell
ret_std_up_ma10,sell
ret_std_up_ma20,sell
ret_std_up_ma60,sell
ret_std_down_ma1,sell
ret_std_down_ma2,sell
ret_std_down_ma3,sell
ret_std_down_ma5,sell
ret_std_down_ma10,sell
ret_std_down_ma20,buy
ret_std_down_ma60,buy
copa_ma1,buy
copa_ma2,buy
copa_ma3,buy
copa_ma5,buy
copa_ma10,sell
copa_ma20,buy
copa_ma60,sell
cora_ma1,sell
cora_ma2,sell
cora_ma3,sell
cora_ma5,sell
cora_ma10,sell
cora_ma20,sell
cora_ma60,sell
cora1_ma1,sell
cora1_ma2,sell
cora1_ma3,sell
cora1_ma5,sell
cora1_ma10,sell
cora1_ma20,sell
cora1_ma60,sell
cora_1_ma1,sell
cora_1_ma2,sell
cora_1_ma3,sell
cora_1_ma5,sell
cora_1_ma10,sell
cora_1_ma20,sell
cora_1_ma60,buy
corr_mean_ma1,buy
corr_mean_ma2,buy
corr_mean_ma3,sell
corr_mean_ma5,sell
corr_mean_ma10,sell
corr_mean_ma20,sell
corr_mean_ma60,sell
corr_mean2_ma1,buy
corr_mean2_ma2,buy
corr_mean2_ma3,buy
corr_mean2_ma5,sell
corr_mean2_ma10,sell
corr_mean2_ma20,sell
corr_mean2_ma60,sell
ret_auto_corr_ma1,buy
ret_auto_corr_ma2,buy
ret_auto_corr_ma3,buy
ret_auto_corr_ma5,buy
ret_auto_corr_ma10,buy
ret_auto_corr_ma20,buy
ret_auto_corr_ma60,buy
price_auto_corr_ma1,buy
price_auto_corr_ma2,buy
price_auto_corr_ma3,buy
price_auto_corr_ma5,buy
price_auto_corr_ma10,buy
price_auto_corr_ma20,buy
price_auto_corr_ma60,buy
ret_skew_ma1,sell
ret_skew_ma2,sell
ret_skew_ma3,sell
ret_skew_ma5,sell
ret_skew_ma10,sell
ret_skew_ma20,sell
ret_skew_ma60,sell
ret_kurt_ma1,sell
ret_kurt_ma2,sell
ret_kurt_ma3,buy
ret_kurt_ma5,buy
ret_kurt_ma10,buy
ret_kurt_ma20,buy
ret_kurt_ma60,buy
amt_skew_ma1,sell
amt_skew_ma2,sell
amt_skew_ma3,sell
amt_skew_ma5,sell
amt_skew_ma10,sell
amt_skew_ma20,sell
amt_skew_ma60,buy
amt_kurt_ma1,buy
amt_kurt_ma2,buy
amt_kurt_ma3,buy
amt_kurt_ma5,buy
amt_kurt_ma10,buy
amt_kurt_ma20,buy
amt_kurt_ma60,buy
price_skew_ma1,buy
price_skew_ma2,buy
price_skew_ma3,buy
price_skew_ma5,sell
price_skew_ma10,sell
price_skew_ma20,buy
price_skew_ma60,buy
illiq_ma1,buy
illiq_ma2,buy
illiq_ma3,buy
illiq_ma5,buy
illiq_ma10,buy
illiq_ma20,buy
illiq_ma60,buy
amt_mean_ma1,sell
amt_mean_ma2,sell
amt_mean_ma3,sell
amt_mean_ma5,sell
amt_mean_ma10,sell
amt_mean_ma20,sell
amt_mean_ma60,sell
lnamt_mean_ma1,sell
lnamt_mean_ma2,sell
lnamt_mean_ma3,sell
lnamt_mean_ma5,sell
lnamt_mean_ma10,sell
lnamt_mean_ma20,sell
lnamt_mean_ma60,sell
inflow_r_ma1,sell
inflow_r_ma2,sell
inflow_r_ma3,sell
inflow_r_ma5,sell
inflow_r_ma10,sell
inflow_r_ma20,sell
inflow_r_ma60,sell
outflow_r_ma1,buy
outflow_r_ma2,sell
outflow_r_ma3,sell
outflow_r_ma5,sell
outflow_r_ma10,sell
outflow_r_ma20,sell
outflow_r_ma60,sell
amt_r_1000_ma1,sell
amt_r_1000_ma2,sell
amt_r_1000_ma3,sell
amt_r_1000_ma5,sell
amt_r_1000_ma10,sell
amt_r_1000_ma20,sell
amt_r_1000_ma60,buy
amt_r_1430_ma1,buy
amt_r_1430_ma2,buy
amt_r_1430_ma3,sell
amt_r_1430_ma5,sell
amt_r_1430_ma10,sell
amt_r_1430_ma20,sell
amt_r_1430_ma60,sell
amt_peak_ma1,buy
amt_peak_ma2,buy
amt_peak_ma3,buy
amt_peak_ma5,buy
amt_peak_ma10,buy
amt_peak_ma20,buy
amt_peak_ma60,sell
vwap_ret_ma1,sell
vwap_ret_ma2,sell
vwap_ret_ma3,sell
vwap_ret_ma5,sell
vwap_ret_ma10,sell
vwap_ret_ma20,sell
vwap_ret_ma60,sell
vwap_ret2_ma1,buy
vwap_ret2_ma2,buy
vwap_ret2_ma3,sell
vwap_ret2_ma5,sell
vwap_ret2_ma10,sell
vwap_ret2_ma20,sell
vwap_ret2_ma60,buy
vwat_ma1,buy
vwat_ma2,buy
vwat_ma3,buy
vwat_ma5,buy
vwat_ma10,sell
vwat_ma20,sell
vwat_ma60,sell
price_alpha_ma1,buy
price_alpha_ma2,buy
price_alpha_ma3,buy
price_alpha_ma5,sell
price_alpha_ma10,sell
price_alpha_ma20,sell
price_alpha_ma60,buy
price_beta_ma1,sell
price_beta_ma2,sell
price_beta_ma3,sell
price_beta_ma5,sell
price_beta_ma10,sell
price_beta_ma20,sell
price_beta_ma60,sell
ret_beta_ma1,buy
ret_beta_ma2,sell
ret_beta_ma3,sell
